,Maker,Synthetix,Uniswap,Kyber,dYdX
2020-03-26 23:00:00,326318849.0,76388831.0,27713210.0,3776337.0,20503981.0
2020-03-27 00:00:00,325924831.0,76197506.0,27650891.0,3789197.0,20588036.0
2020-03-27 01:00:00,323457121.0,76219780.0,27697487.0,3797183.0,20702919.0
2020-03-27 02:00:00,323214807.0,76208404.0,27676004.0,3770844.0,20626645.0
2020-03-27 03:00:00,322763452.0,76755781.0,27659259.0,3848544.0,20670903.0
2020-03-27 04:00:00,324586254.0,77346467.0,27814109.0,3862396.0,20734176.0
2020-03-27 05:00:00,324589856.0,76800315.0,27837889.0,3852064.0,20700137.0
2020-03-27 06:00:00,327681255.0,77208124.0,28117475.0,3886909.0,20796009.0
2020-03-27 07:00:00,327055470.0,78710665.0,28106255.0,3918266.0,20767901.0
2020-03-27 08:00:00,332832274.0,79462567.0,28164098.0,3887870.0,20795678.0
2020-03-27 09:00:00,337393295.0,80795040.0,28571036.0,3844219.0,20980087.0
2020-03-27 10:00:00,337221030.0,77691468.0,28570920.0,3801837.0,20879490.0
2020-03-27 11:00:00,336380088.0,78828627.0,28492528.0,3805521.0,20658949.0
2020-03-27 13:00:00,338926278.0,80039355.0,28641507.0,3830875.0,20882699.0
2020-03-27 14:00:00,336590693.0,78502631.0,28426515.0,3811644.0,20853037.0
2020-03-27 15:00:00,331823011.0,78865361.0,28109833.0,3756564.0,20679135.0
2020-03-27 18:00:00,331864305.0,80847868.0,28286341.0,3823621.0,20685888.0
2020-03-27 19:00:00,330025789.0,79543496.0,28172185.0,3731124.0,20768759.0
2020-03-27 20:00:00,330084645.0,79337854.0,28155759.0,3737219.0,20784392.0
2020-03-27 23:00:00,328342551.0,79476939.0,27993833.0,3798010.0,20666424.0
2020-03-28 00:00:00,328384438.0,80293344.0,27998194.0,3796374.0,20641607.0
2020-03-28 01:00:00,330504891.0,81438183.0,28186874.0,3791486.0,20602792.0
2020-03-28 02:00:00,331476955.0,81808906.0,28244615.0,3816527.0,20703663.0
2020-03-28 03:00:00,331423827.0,82340040.0,28256979.0,3808125.0,20697916.0
2020-03-28 04:00:00,332779692.0,81192803.0,28366213.0,3815575.0,20651874.0
2020-03-28 05:00:00,332537160.0,80565134.0,28355087.0,3797385.0,20653495.0
2020-03-28 06:00:00,333215946.0,80612502.0,28503364.0,3841074.0,20594090.0
2020-03-28 07:00:00,334351949.0,81656967.0,28507158.0,3849159.0,20606178.0
2020-03-28 08:00:00,334096501.0,81398007.0,28480098.0,3861448.0,20475058.0
2020-03-28 09:00:00,323637851.0,77114467.0,27533433.0,3759921.0,20053003.0
2020-03-28 10:00:00,319917769.0,75862003.0,27243168.0,3707490.0,20001924.0
2020-03-28 12:00:00,316069053.0,76522860.0,27022348.0,3625385.0,19985158.0
2020-03-28 13:00:00,315129623.0,75207392.0,26888745.0,3736295.0,19894776.0
2020-03-28 14:00:00,315408355.0,76932789.0,26938283.0,3736381.0,19911291.0
2020-03-28 15:00:00,317311115.0,75580762.0,27112938.0,3719715.0,19968711.0
2020-03-28 16:00:00,315069185.0,76795499.0,26932026.0,3694842.0,19782345.0
2020-03-28 17:00:00,315533391.0,76528227.0,27005092.0,3733294.0,19845023.0
2020-03-28 18:00:00,311699649.0,74964680.0,26462533.0,3735099.0,19564503.0
2020-03-28 19:00:00,315589485.0,76152511.0,26919607.0,3756907.0,19696665.0
2020-03-28 20:00:00,319630050.0,76373387.0,27129880.0,3773204.0,19763630.0
2020-03-28 21:00:00,324573284.0,77234042.0,27494383.0,3795546.0,19849641.0
2020-03-28 22:00:00,324369090.0,77663037.0,27660242.0,3853965.0,19831562.0
2020-03-28 23:00:00,324504455.0,77339823.0,27612337.0,3722408.0,19810003.0
2020-03-29 00:00:00,324933317.0,77397734.0,27638514.0,3725458.0,19789671.0
2020-03-29 01:00:00,324006442.0,77765609.0,27561414.0,3715491.0,19863931.0
2020-03-29 07:00:00,321762061.0,78050959.0,27516999.0,3735098.0,19588309.0
2020-03-29 08:00:00,322322407.0,77353966.0,27546170.0,3737715.0,19615288.0
2020-03-29 09:00:00,321403710.0,76899051.0,27496118.0,3725352.0,19561367.0
2020-03-29 10:00:00,319341736.0,77618534.0,27303102.0,3701823.0,19442108.0
2020-03-29 11:00:00,322619960.0,78949038.0,27594041.0,3747561.0,19568386.0
2020-03-29 13:00:00,320171474.0,77617014.0,27407873.0,3741317.0,19499619.0
2020-03-29 14:00:00,321476588.0,78010080.0,27516720.0,3753077.0,19483919.0
2020-03-29 15:00:00,321637696.0,78151508.0,27479603.0,3759308.0,19485985.0
2020-03-29 16:00:00,321201175.0,77988874.0,27409706.0,3783818.0,19454736.0
2020-03-29 17:00:00,318467175.0,77430699.0,27196361.0,3718836.0,19254773.0
2020-03-29 19:00:00,316233110.0,75792127.0,27085092.0,3691352.0,19235453.0
2020-03-29 21:00:00,315665526.0,77397256.0,26793666.0,3626984.0,19009078.0
2020-03-29 22:00:00,315285768.0,76861378.0,26773550.0,3606798.0,19003372.0
2020-03-29 23:00:00,315367257.0,76378632.0,26816455.0,3604245.0,19018548.0
2020-03-30 01:00:00,314885696.0,76208958.0,26753410.0,3600824.0,18969125.0
